start_stn,r_hour.0,r_hour.1,r_hour.2,r_hour.3,r_hour.4,r_hour.5,r_hour.6,r_hour.7,r_hour.8,r_hour.9,r_hour.10,r_hour.11,r_hour.12,r_hour.13,r_hour.14,r_hour.15,r_hour.16,r_hour.17,r_hour.18,r_hour.19,r_hour.20,r_hour.21,r_hour.22,r_hour.23
123,0.036648257,0.032295819,0.023005742,0.014703193,0.007205296,0.006510369,0.012911013,0.042207673,0.09582678,0.057752094,0.031820343,0.026590103,0.031527742,0.032112944,0.036428807,0.045536008,0.04941297,0.060714678,0.066859296,0.062726308,0.06667642,0.064006437,0.054021433,0.042500274
124,0.043805473,0.025998521,0.018158284,0.011686391,0.006693787,0.006305473,0.011076183,0.018786982,0.043176775,0.038831361,0.036076183,0.034319527,0.039940828,0.045543639,0.041161243,0.043509615,0.058616864,0.067548077,0.078716716,0.068491124,0.060096154,0.063886834,0.074130917,0.063443047
125,0.036759472,0.025132484,0.017420707,0.009906668,0.00595191,0.005556434,0.007692003,0.009175038,0.018607134,0.028039231,0.033437475,0.039191648,0.050225421,0.059360911,0.051985288,0.059697066,0.069999209,0.078838092,0.093628886,0.06901052,0.056355295,0.057245116,0.063414538,0.053369453
126,0.034669429,0.021128507,0.014124582,0.00840471,0.006522405,0.005340493,0.009995185,0.018181022,0.032670392,0.037587731,0.034859119,0.043161689,0.049100433,0.056279457,0.049902966,0.05467439,0.068375819,0.078225089,0.080661871,0.06674157,0.060160798,0.059839785,0.062568398,0.046824158
127,0.056987724,0.036307838,0.027525968,0.015911237,0.011661945,0.010434372,0.010056657,0.012936733,0.045278565,0.038810198,0.034041549,0.034419263,0.036591124,0.043578848,0.044192635,0.044239849,0.047544854,0.056137866,0.067186025,0.0697356,0.055996223,0.065958451,0.07407932,0.060387158
128,0.043599477,0.0294706,0.020917668,0.012506497,0.00889946,0.005355427,0.006536771,0.014664419,0.035093799,0.030903965,0.022792068,0.024241183,0.032463339,0.043835746,0.044828075,0.048844645,0.057917369,0.064186369,0.084284972,0.086332635,0.074204168,0.072408525,0.076755871,0.058956952
129,0.0521378,0.035926046,0.024817993,0.013009432,0.008005804,0.006754897,0.004978609,0.00980711,0.045032649,0.026694353,0.032273398,0.026344099,0.028971004,0.034750194,0.036651572,0.037677316,0.045507993,0.063496035,0.067949263,0.073027945,0.06947537,0.085111706,0.099322008,0.072277401
130,0.041438548,0.02925074,0.02114488,0.014644716,0.010291927,0.006596893,0.005320075,0.007215956,0.024259542,0.026871215,0.019732642,0.024027394,0.032249328,0.040703411,0.04586872,0.047841984,0.058327368,0.06941247,0.090112399,0.087365305,0.080632992,0.07792459,0.081542241,0.057224662
131,0.034031141,0.026193824,0.016846326,0.009139197,0.005780347,0.004921106,0.023329688,0.0199448,0.085377285,0.05095558,0.029136072,0.029136072,0.035619434,0.038093006,0.043378639,0.039811488,0.050825392,0.061370619,0.07339999,0.074076967,0.064599281,0.072019997,0.062750612,0.049263136
132,0.056349963,0.044380892,0.034494933,0.022102178,0.015605691,0.011545387,0.005613812,0.005719733,0.011969071,0.015640998,0.013910956,0.015605691,0.024926738,0.037990326,0.045475409,0.045475409,0.053172333,0.061010486,0.08011157,0.084772093,0.082724288,0.082124069,0.081312008,0.067965964
