start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
264,0.156829353,0.158725858,0.152765414,0.153152456,0.160351434,0.117234973,0.100940512
265,0.148296877,0.154202296,0.144895356,0.144895356,0.149241744,0.13691123,0.121557141
266,0.143586778,0.141916418,0.140952748,0.139860589,0.150011243,0.153319842,0.130352382
267,0.149923074,0.148024485,0.139382631,0.143245278,0.141150283,0.140692003,0.137582245
268,0.148831373,0.149396078,0.138321569,0.134086275,0.145568627,0.146196078,0.1376
270,0.168200509,0.177077214,0.161086091,0.166568762,0.171529274,0.088962861,0.066575289
271,0.150535377,0.150605361,0.142977115,0.146406327,0.144586745,0.134439079,0.130449997
272,0.136223878,0.13239926,0.12460004,0.125312469,0.131536846,0.174582542,0.175344966
274,0.134500706,0.148513391,0.142760815,0.135217144,0.150746992,0.152664517,0.135596435
275,0.137314463,0.152778737,0.144770452,0.144321712,0.150500518,0.146634449,0.123679669
276,0.135462555,0.15596408,0.149440868,0.14334124,0.155413419,0.139698407,0.120679431
277,0.132331669,0.145070225,0.140637394,0.137931034,0.142550511,0.161495031,0.139984135
278,0.138460855,0.152049381,0.141969004,0.142146632,0.13650695,0.147653093,0.141214086
279,0.131610372,0.152891505,0.140779597,0.14807233,0.146451723,0.143850222,0.136344251
280,0.143953685,0.16262278,0.150133351,0.150068302,0.157744097,0.127171014,0.108306772
281,0.14745232,0.157557643,0.135069741,0.13891261,0.141474523,0.1323655,0.147167663
282,0.157075472,0.154716981,0.152358491,0.131603774,0.137264151,0.143632075,0.123349057
283,0.151004595,0.164249031,0.143481395,0.142760609,0.145508604,0.124921164,0.128074601
284,0.135685617,0.13281016,0.136793866,0.135685617,0.137153298,0.164859522,0.157011921
285,0.149324443,0.162309177,0.153886647,0.153535708,0.145113178,0.126864362,0.108966485
286,0.156389727,0.154829989,0.154933971,0.146511386,0.148487054,0.12696267,0.111885203
287,0.14635515,0.161709942,0.142478192,0.140488701,0.145947049,0.132581748,0.130439218
288,0.163009404,0.160612207,0.142541029,0.151576618,0.147519823,0.123179052,0.111561866
289,0.152781661,0.172071568,0.140620632,0.152641879,0.146771037,0.121330724,0.113782499
290,0.160798022,0.170602779,0.149288089,0.149117572,0.147582914,0.117912866,0.104697758
291,0.162183716,0.177916334,0.158268687,0.157253679,0.166171246,0.093453201,0.084753136
292,0.14371158,0.159162652,0.1556737,0.146868251,0.152849311,0.125103838,0.11663067
293,0.15235844,0.157623294,0.134683572,0.136993661,0.144299989,0.132051144,0.1419899
300,0.16881637,0.173616836,0.164694758,0.162052078,0.159870048,0.089584445,0.081365466
301,0.153119503,0.15933682,0.151697713,0.15483047,0.155408825,0.118514591,0.107092079
302,0.14739525,0.153383182,0.14848536,0.150650228,0.159202223,0.126084353,0.114799404
303,0.161337301,0.168998924,0.165600794,0.16532641,0.166613901,0.092298276,0.079824395
304,0.15246908,0.153164595,0.148477426,0.153376274,0.16305301,0.111584868,0.117874747
305,0.164775797,0.176481181,0.164888349,0.167567081,0.164595714,0.088285611,0.073406267
306,0.148329236,0.156655118,0.151514305,0.150480554,0.159588735,0.11586388,0.117568172
307,0.155601061,0.163634454,0.1577538,0.161560474,0.166784805,0.105510488,0.089154918
308,0.16456736,0.172112693,0.164902032,0.170287209,0.168431301,0.091335037,0.068364367
309,0.160706761,0.173800494,0.164439227,0.166455963,0.169767022,0.084883511,0.079947023
310,0.156291879,0.167146878,0.158235058,0.156727419,0.169425087,0.095684803,0.096488877
311,0.150487194,0.170524453,0.158274249,0.16147753,0.163152886,0.100012063,0.096071625
312,0.158756655,0.172971833,0.163729332,0.166839451,0.169158862,0.089806891,0.078736975
313,0.155304836,0.151755919,0.141215107,0.153080142,0.169235659,0.122675989,0.106732348
314,0.14390659,0.144229734,0.135806459,0.143217217,0.151511235,0.151618949,0.129709817
315,0.150742924,0.151213303,0.142414432,0.146205141,0.157245234,0.132923826,0.11925514
316,0.160369005,0.164973516,0.156923671,0.157036369,0.166116594,0.105935955,0.088644889
318,0.158504979,0.157277316,0.151502751,0.161051244,0.161278589,0.111217205,0.099167917
320,0.162728856,0.16216407,0.159222478,0.158610627,0.163764296,0.111874618,0.081635054
321,0.145559658,0.151312212,0.146561346,0.148049569,0.158180934,0.130219513,0.120116768
322,0.140345937,0.144448914,0.13608206,0.145575221,0.148672566,0.138616251,0.146259051
323,0.136363636,0.165847666,0.156019656,0.162162162,0.158476658,0.133906634,0.087223587
324,0.151588884,0.15331848,0.150973265,0.15100258,0.161790572,0.130804409,0.100521811
