"","x"
"1300",1
"1302",1
"1303",4
"1304",1
"1305",1
"1306",4
"1308",2
"1313",1
"1314",1
"1315",1
"1316",1
"1317",1
"1318",1
"1319",4
"1320",4
"1321",4
"1322",1
"1323",1
"1325",1
"1326",1
"1327",1
"1328",4
"1332",1
"1333",1
"1334",1
"1336",1
"1337",4
"1338",1
"1339",1
"1340",1
"1342",1
"1343",1
"1344",1
"1346",1
"1347",1
"1348",1
"1349",1
"1351",4
"1352",1
"1353",1
"1354",4
"1355",4
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",1
"1363",1
"1364",1
"1365",1
"1366",1
"1367",1
"1368",1
"1369",1
"1370",1
"1372",1
"1373",1
"1375",1
"1376",1
"1377",1
"1401",4
"1402",1
"1403",4
"1404",1
"1405",4
"1406",1
"1407",1
"1408",1
"1410",1
"1411",1
"1412",1
"1413",1
"1414",4
"1416",1
"1418",1
"1420",1
"1421",1
"1422",1
"1424",1
"1425",1
"1426",1
"1427",1
"1428",1
"1429",1
"1430",1
"1431",1
"1433",4
"1434",1
"1435",1
"1436",1
"1437",1
"1438",1
"1440",1
"1441",1
"1442",1
"1443",1
"1444",1
"1445",1
"1446",1
"1447",1
"1448",4
"1449",1
"1450",1
"1451",1
"1452",1
"1453",1
"1454",1
"1455",1
"1456",1
"1457",1
"1458",1
"1459",1
"1501",1
"1503",4
"1504",1
"1506",1
"1509",1
"1510",1
"1511",1
"1512",1
"1513",1
"1514",4
"1515",1
"1516",1
"1518",1
"1519",1
"1520",1
"1522",1
"1525",1
"1526",1
"1527",1
"1528",1
"1529",1
"1530",1
"1531",4
"1532",1
"1533",1
"1534",1
"1535",4
"1536",1
"1537",1
"1538",1
"1539",1
"1540",1
"1541",1
"1542",1
"1543",1
"1545",1
"1546",1
"1547",1
"1548",1
"1601",4
"1602",1
"1603",1
"1605",1
"1606",4
"1608",2
"1610",4
"1611",4
"1616",4
"1617",1
"1619",4
"1620",1
"1623",4
"1625",4
"1627",1
"1628",1
"1630",1
"1634",1
"1635",1
"1636",4
"1637",4
"1639",1
"1640",1
"1641",1
"1642",1
"1643",1
"1646",1
"1650",4
"1651",1
"1652",1
"1653",4
"1654",1
"1655",4
"1656",4
"1657",1
"1659",1
"1660",1
"1661",1
"1662",1
"1663",4
"1664",1
"1665",1
"1666",1
"1667",1
"1668",4
"1669",1
"1670",1
"1671",1
"1672",1
"1673",4
"1674",1
"1675",1
"1677",1
"1678",1
"1679",1
"1680",1
"1681",1
"1682",1
"1683",1
"1684",1
"1685",1
"1686",1
"1687",1
"1688",1
"1689",1
"1690",1
"1691",1
"1692",1
"1693",1
"1702",1
"1703",1
"1705",1
"1706",1
"1707",1
"1708",1
"1709",4
"1712",1
"1713",1
"1714",1
"1715",1
"1716",1
"1717",1
"1719",1
"1720",1
"1721",4
"1722",1
"1723",1
"1725",1
"1726",1
"1727",1
"1728",1
"1729",1
"1730",1
"1731",1
"1732",1
"1733",1
"1734",1
"1735",1
"1736",1
"1737",1
"1738",1
"1739",1
"1741",1
"1742",1
"1802",1
"1804",1
"1805",1
"1806",1
"1808",1
"1809",1
"1812",1
"1814",1
"1816",1
"1819",1
"1820",1
"1821",1
"1822",1
"1823",1
"1824",1
"1825",1
"1826",1
"1827",4
"1828",1
"1829",1
"1830",1
"1831",1
"1833",1
"1834",1
"1835",1
"1836",1
"1839",1
"1840",1
"1841",1
"1842",1
"1843",1
"1845",1
"1846",1
"1847",1
"1848",1
"1849",1
"1850",1
"1851",1
"1852",1
"1853",1
"1854",1
"1855",1
"1856",1
"1857",1
"1858",1
"1859",1
"1901",1
"1904",4
"1906",2
"1907",1
"1908",4
"1910",1
"1911",2
"1912",1
"1913",1
"1914",1
"1916",1
"1920",1
"1924",1
"1925",4
"1928",1
"1929",1
"1930",1
"1931",1
"1933",1
"1936",1
"1937",1
"1940",1
"1941",1
"1943",1
"1946",1
"1951",1
"1952",1
"1953",1
"1955",4
"1956",1
"1957",1
"1958",1
"1959",1
"1960",1
"1961",4
"1962",1
"1963",1
"1964",1
"1965",1
"1966",1
"1967",1
"1968",1
"1969",1
"1971",1
"1973",1
"1974",1
"1975",1
"1976",1
"1977",1
"1979",1
"1981",1
"1983",1
"1984",1
"1985",4
"1986",4
"1987",1
"1988",1
"1991",1
"1992",1
"1993",1
"1994",1
"1996",1
"1998",1
"1999",1
"2000",1
"2002",2
"2003",4
"2007",4
"2008",1
"2009",1
"2012",1
"2013",4
"2015",4
"2016",4
"2020",1
"2024",4
"2025",4
"2026",1
"2027",1
"2028",1
"2032",4
"2033",1
"2034",1
"2036",1
"2037",1
"2038",1
"2040",1
"2041",1
"2048",4
"2050",4
"2054",1
"2056",4
"2057",1
"2058",4
"2059",1
"2060",1
"2061",1
"2062",1
"2063",1
"2064",1
"2065",1
"2066",1
"2067",1
"2068",1
"2069",1
"2070",1
"2071",1
"2102",2
"2103",4
"2104",1
"2105",1
"2106",4
"2107",2
"2108",1
"2109",4
"2110",1
"2111",1
"2112",1
"2113",4
"2114",1
"2115",1
"2116",1
"2119",1
"2122",1
"2127",1
"2128",1
"2129",1
"2130",1
"2135",4
"2136",4
"2137",1
"2139",4
"2140",4
"2141",4
"2143",1
"2144",1
"2145",1
"2148",1
"2153",1
"2156",1
"2157",1
"2159",1
"2160",1
"2164",1
"2165",1
"2167",1
"2169",1
"2170",1
"2171",1
"2172",1
"2173",4
"2174",1
"2175",1
"2176",1
"2177",4
"2178",1
"2179",1
"2180",1
"2183",4
"2184",1
"2185",1
"2201",1
"2202",4
"2203",1
"2205",1
"2206",4
"2207",1
"2210",1
"2211",1
"2212",1
"2213",1
"2214",4
"2215",1
"2217",4
"2219",2
"2220",4
"2221",1
"2222",4
"2223",1
"2224",1
"2225",1
"2226",1
"2227",1
"2228",4
"2229",1
"2230",4
"2231",4
"2233",1
"2235",1
"2237",1
"2239",1
"2241",1
"2242",1
"2243",1
"2244",4
"2245",1
"2246",1
"2247",4
"2248",1
"2249",1
"2250",1
"2251",1
"2252",4
"2255",4
"2256",1
"2257",1
"2258",1
"2259",1
"2262",4
"2263",1
"2264",4
"2265",4
"2266",1
"2268",1
"2269",1
"2270",1
"2271",1
"2272",1
"2273",1
"2274",1
"2275",1
"2276",1
"2277",1
"2279",1
"2280",1
"2281",1
"2282",1
"2283",1
"2284",1
"2285",1
"2286",1
"2287",1
"2288",1
"2289",1
"2290",1
"2292",1
"2293",1
"2294",1
"2297",1
"2298",1
"2299",1
"2301",4
"2302",4
"2303",1
"2304",1
"2305",1
"2306",4
"2307",4
"2308",1
"2309",1
"2310",1
"2311",1
"2312",1
"2313",1
"2314",1
"2315",4
"2316",1
"2317",1
"2318",1
"2319",1
"2320",1
"2321",1
"2322",1
"2323",1
"2324",1
"2325",1
"2326",1
"2327",4
"2328",1
"2329",1
"2330",1
"2331",1
"2332",1
"2333",1
"2334",1
"2335",1
"2336",1
"2337",1
"2339",1
"2340",4
"2341",1
"2342",4
"2343",1
"2344",1
"2347",1
"2348",4
"2349",1
"2350",1
"2351",1
"2352",1
"2353",1
"2354",1
"2355",4
"2356",1
"2357",1
"2358",1
"2359",1
"2360",1
"2361",1
"2362",1
"2363",1
"2364",1
"2365",1
"2368",1
"2369",1
"2370",1
"2371",1
"2372",1
"2373",1
"2375",1
"2376",1
"2377",4
"2380",1
"2381",1
"2382",1
"2383",1
"2384",1
"2385",1
"2386",1
"2387",1
"2388",1
"2389",1
"2390",1
"2391",1
"2392",1
"2393",1
"2394",1
"2395",1
"2396",1
"2398",1
"2401",1
"2403",1
"2404",1
"2405",1
"2406",1
"2407",1
"2408",1
"2409",1
"2410",1
"2411",1
"2412",1
"2501",1
"2502",1
"2503",1
"2504",1
"2505",1
"2506",1
"2508",1
"2509",1
"2510",1
"2511",1
"2601",4
"2603",1
"2604",1
"2605",1
"2606",1
"2607",1
"2608",1
"2609",1
"2610",1
"2611",1
"2612",1
"2613",1
"2614",1
"2615",1
"2616",1
"2617",1
"2618",1
"2619",4
"2620",4
"2621",4
"2622",4
"2701",4
"2702",1
"2801",1
"3100",1
"3101",1
"3102",1
"3103",1
"3104",1
"3105",1
"3106",1
"3107",1
"3500",4
"3501",4
"3502",1
"3503",1
"3504",4
"3505",1
"3506",1
"3507",1
"3508",4
"3509",4
"3510",1
"3511",4
"3513",4
"3514",4
"3515",4
"3516",1
"3517",1
"3518",4
"3519",4
"3520",4
"3521",1
"3522",4
"3523",1
"3524",1
"3525",1
"3527",1
"3528",1
"3529",1
"3530",1
"3531",1
"3532",1
"3533",2
"3534",4
"3535",1
"3536",1
"3537",1
"3538",1
"3539",1
"3541",4
"3542",1
